variable,AB_mean,AC_mean,p
age,24.68,25.208333333333332,0.6568674820383698
gender=Female,64.0,75.0,0.40361509497880155
used_ai=Yes,80.0,83.33333333333334,0.7632375609209552
heard_simplify=Yes,72.0,62.5,0.47839126296344536
field,,,0.6336795070551177
job_status,,,0.5347711141366722
difficulty,,,0.6043930714340078
