person_id,group,data_source,gender,edu_level,year_in_school,age,job_status,field,difficulty,time_per_week,used_ai,heard_simplify,page,is_treatment,signup,useful,regular,recommend
1,AC,human,Female,Master’s student,Master’s student (1st year),23,Exploring opportunities but not applying yet,Information Systems / Data Science,Neither easy nor difficult,0-2 hours,No,Yes,A,0,2.0,3.0,3.0,2.0
1,AC,human,Female,Master’s student,Master’s student (1st year),23,Exploring opportunities but not applying yet,Information Systems / Data Science,Neither easy nor difficult,0-2 hours,No,Yes,C,1,3.0,3.0,3.0,3.0
2,AB,human,Male,Other,PhD year 3+,38,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,0-2 hours,No,Not sure,A,0,3.0,,3.0,3.0
2,AB,human,Male,Other,PhD year 3+,38,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,0-2 hours,No,Not sure,B,1,3.0,3.0,3.0,3.0
3,AC,human,Male,Master’s student,Master’s student (1st year),31,Actively applying for internships,Computer Science / Engineering,Somewhat difficult,3-5 hours,Yes,Yes,A,0,4.0,3.0,4.0,3.0
3,AC,human,Male,Master’s student,Master’s student (1st year),31,Actively applying for internships,Computer Science / Engineering,Somewhat difficult,3-5 hours,Yes,Yes,C,1,4.0,3.0,4.0,3.0
4,AB,human,Male,Master’s student,Master’s student (1st year),24,Actively applying for internships,Computer Science / Engineering,Extremely difficult,3-5 hours,Yes,Yes,A,0,4.0,3.0,4.0,4.0
4,AB,human,Male,Master’s student,Master’s student (1st year),24,Actively applying for internships,Computer Science / Engineering,Extremely difficult,3-5 hours,Yes,Yes,B,1,4.0,3.0,4.0,4.0
5,AC,human,Male,Master’s student,Master’s student (1st year),23,Exploring opportunities but not applying yet,Information Systems / Data Science,Somewhat difficult,0-2 hours,No,No,A,0,0.0,,0.0,0.0
5,AC,human,Male,Master’s student,Master’s student (1st year),23,Exploring opportunities but not applying yet,Information Systems / Data Science,Somewhat difficult,0-2 hours,No,No,C,1,0.0,1.0,1.0,0.0
6,AB,human,Female,Master’s student,Master’s student (1st year),22,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,0-2 hours,Yes,No,A,0,1.0,1.0,1.0,1.0
6,AB,human,Female,Master’s student,Master’s student (1st year),22,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,0-2 hours,Yes,No,B,1,1.0,1.0,1.0,1.0
7,AC,human,Male,Master’s student,Master’s student (1st year),23,Actively applying for full-time jobs,Business,Somewhat difficult,3-5 hours,Yes,No,A,0,3.0,2.0,3.0,3.0
7,AC,human,Male,Master’s student,Master’s student (1st year),23,Actively applying for full-time jobs,Business,Somewhat difficult,3-5 hours,Yes,No,C,1,3.0,2.0,3.0,4.0
8,AB,human,Female,Master’s student,Master’s student (1st year),23,Actively applying for internships,Business,Extremely difficult,6-8 hours,Yes,Yes,A,0,3.0,3.0,3.0,4.0
8,AB,human,Female,Master’s student,Master’s student (1st year),23,Actively applying for internships,Business,Extremely difficult,6-8 hours,Yes,Yes,B,1,3.0,4.0,4.0,4.0
9,AC,human,Female,Master’s student,Master’s student (1st year),23,Actively applying for internships,Information Systems / Data Science,Extremely difficult,6-8 hours,Yes,Yes,A,0,1.0,2.0,2.0,2.0
9,AC,human,Female,Master’s student,Master’s student (1st year),23,Actively applying for internships,Information Systems / Data Science,Extremely difficult,6-8 hours,Yes,Yes,C,1,2.0,2.0,3.0,2.0
10,AB,human,Female,Master’s student,Master’s student (1st year),23,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,Yes,Yes,A,0,4.0,3.0,1.0,2.0
10,AB,human,Female,Master’s student,Master’s student (1st year),23,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,Yes,Yes,B,1,4.0,4.0,2.0,3.0
11,AC,human,Female,Master’s student,Master’s student (1st year),23,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,Yes,Yes,A,0,4.0,3.0,4.0,3.0
11,AC,human,Female,Master’s student,Master’s student (1st year),23,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,Yes,Yes,C,1,4.0,3.0,4.0,3.0
12,AB,human,Female,Master’s student,Master’s student (1st year),22,Not currently looking for jobs,Information Systems / Data Science,Extremely difficult,3-5 hours,Yes,Yes,A,0,4.0,3.0,4.0,4.0
12,AB,human,Female,Master’s student,Master’s student (1st year),22,Not currently looking for jobs,Information Systems / Data Science,Extremely difficult,3-5 hours,Yes,Yes,B,1,2.0,3.0,4.0,1.0
13,AB,human,Female,Master’s student,Master’s student (1st year),23,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,Yes,Yes,A,0,4.0,3.0,4.0,4.0
13,AB,human,Female,Master’s student,Master’s student (1st year),23,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,Yes,Yes,B,1,4.0,3.0,4.0,4.0
14,AC,human,Female,Master’s student,Master’s student (1st year),22,Actively applying for internships,Computer Science / Engineering,Extremely difficult,3-5 hours,No,No,A,0,4.0,4.0,4.0,4.0
14,AC,human,Female,Master’s student,Master’s student (1st year),22,Actively applying for internships,Computer Science / Engineering,Extremely difficult,3-5 hours,No,No,C,1,3.0,3.0,3.0,3.0
15,AC,human,Female,Master’s student,Master’s student (1st year),23,Actively applying for internships,Information Systems / Data Science,Extremely difficult,More than 8 hours,Yes,Yes,A,0,5.0,4.0,3.0,3.0
15,AC,human,Female,Master’s student,Master’s student (1st year),23,Actively applying for internships,Information Systems / Data Science,Extremely difficult,More than 8 hours,Yes,Yes,C,1,5.0,4.0,3.0,3.0
16,AB,human,Female,Master’s student,Master’s student (1st year),24,Exploring opportunities but not applying yet,Information Systems / Data Science,Somewhat difficult,0-2 hours,No,Yes,A,0,3.0,3.0,3.0,3.0
16,AB,human,Female,Master’s student,Master’s student (1st year),24,Exploring opportunities but not applying yet,Information Systems / Data Science,Somewhat difficult,0-2 hours,No,Yes,B,1,4.0,4.0,4.0,4.0
17,AB,human,Female,Master’s student,Master’s student (1st year),23,Actively applying for internships,Information Systems / Data Science,Extremely difficult,More than 8 hours,Yes,Yes,A,0,4.0,3.0,4.0,4.0
17,AB,human,Female,Master’s student,Master’s student (1st year),23,Actively applying for internships,Information Systems / Data Science,Extremely difficult,More than 8 hours,Yes,Yes,B,1,4.0,4.0,4.0,4.0
18,AC,human,Male,Master’s student,Master’s student (1st year),22,Actively applying for internships,Business,Extremely difficult,6-8 hours,Yes,Yes,A,0,3.0,3.0,4.0,4.0
